no_mm|tgl|jenis|nilai|no_invoice|unit|no_supplier|nama_supplier_seharusnya|keterangan
MM2512310061|2025-12-31|PAKAN|64000000.00|-|PSR|?|(perlu ditentukan manual)|KOREKSI PAKAN DI UNIT PASURUAN 
MM2512310061|2025-12-31|PAKAN|57050000.00|-|PSR|?|(perlu ditentukan manual)|KOREKSI PAKAN DI UNIT PASURUAN 
MM2512310062|2025-12-31|PAKAN|44825000.00|-|TAG|?|(perlu ditentukan manual)|KOREKSI PAKAN DI UNIT TULUNGAGUNG SJ 30163030
MM2512310062|2025-12-31|PAKAN|20000000.00|-|TAG|?|(perlu ditentukan manual)|KOREKSI PAKAN DI UNIT TULUNGAGUNG SJ 30163030
MM2512310063|2025-12-31|PAKAN|44825000.00|-|LMG|?|(perlu ditentukan manual)|KOREKSI PAKAN DI UNIT LAMONGAN SJ  3016303014
MM2512310063|2025-12-31|PAKAN|1600000.00|-|LMG|?|(perlu ditentukan manual)|KOREKSI PAKAN UNIT LMG
MM2512310063|2025-12-31|PAKAN|56000000.00|-|LMG|?|(perlu ditentukan manual)|KOREKSI PAKAN DI UNIT LAMONGAN SJ  3016303014
MM2512310063|2025-12-31|PAKAN|8200000.00|-|LMG|?|(perlu ditentukan manual)|KOREKSI PAKAN DI UNIT LAMONGAN SJ  3016303014
MM2512310063|2025-12-31|PAKAN|20000000.00|-|LMG|?|(perlu ditentukan manual)|KOREKSI PAKAN DI UNIT LAMONGAN SJ  3016303014
MM2512310064|2025-12-31|PAKAN|1350000.00|BYP/12/25/00940|BJN|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI PERSEDIAAN UNIT BOJONEGORO
MM2512310064|2025-12-31|PAKAN|1275000.00|BYP/12/25/00975|BJN|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI PERSEDIAAN UNIT BOJONEGORO
MM2512310069|2025-12-31|PAKAN|1200000.00|BYP/12/25/00567|MLG|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI SELISIH KARENA ADA UPDATE HARGA DAN U
MM2512310070|2025-12-31|PAKAN|1600000.00|BYP/12/25/01071|LMG|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI SELISIH KARENA ADA UPDATE HARGA DAN U
MM2512310071|2025-12-31|PAKAN|150000.00|BYP/12/25/00566|KDR|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI SELISIH KARENA ADA UPDATE HARGA DAN U
